self_employed,income_annum,loan_amount,loan_term,cibil_score,assets,loan_status
No,440234,228311,10,708,1388799,Rejected
No,1185044,277094,15,677,236884,Rejected
No,815036,107062,15,779,279680,Approved
No,741431,227185,15,707,803474,Approved
No,731336,210549,15,716,1224049,Approved
No,1076666,147539,15,774,2035035,Approved
No,728596,192648,10,722,1359249,Approved
No,1073734,124848,10,730,725941,Approved
No,989474,195079,15,823,1353896,Approved
No,734570,229412,15,647,1109485,Rejected
No,883612,239666,15,676,910147,Rejected
No,718365,162646,15,797,296264,Rejected
No,900307,277105,15,687,1912717,Rejected
No,1118492,154905,20,717,1073171,Approved
Yes,972187,122431,20,653,528649,Rejected
Yes,916337,271074,15,726,728682,Approved
No,526005,350698,20,735,425970,Rejected
Yes,802500,177092,10,735,1039292,Approved
No,692671,231748,20,818,444818,Rejected
Yes,784812,264808,10,711,1152763,Rejected
Yes,826263,251222,10,677,1259704,Rejected
No,848419,188578,15,740,1323941,Approved
No,732957,295654,10,722,1689899,Rejected
No,732752,179940,15,763,212268,Rejected
No,1121568,149288,20,674,886916,Rejected
No,758149,96708,20,711,1226038,Approved
Yes,804052,216163,20,679,588458,Rejected
No,954520,144645,10,738,574481,Approved
No,634856,187812,15,649,835655,Rejected
No,956864,371505,15,752,1294169,Rejected
No,552554,189370,20,763,797034,Rejected
No,652367,263031,15,731,708824,Rejected
No,989264,87341,15,768,580593,Approved
No,823705,229077,15,638,646941,Rejected
No,817213,274059,10,729,661290,Rejected
Yes,828149,186122,15,775,1069078,Approved
No,1251090,143624,20,657,766964,Rejected
No,663615,300044,10,752,1944668,Rejected
No,680344,258429,15,674,917576,Rejected
No,1215792,215834,15,708,983142,Approved
No,578341,206571,10,668,578731,Rejected
No,532912,150737,15,712,1360294,Approved
Yes,612763,231006,15,680,1913819,Rejected
No,665220,284898,15,749,1640154,Rejected
No,975623,246251,20,673,1058926,Rejected
No,1054687,274883,20,753,395980,Rejected
No,807945,163652,10,788,1717101,Approved
No,924237,132065,10,743,452579,Approved
No,1062406,252597,15,711,634601,Approved
No,429859,315911,15,752,604195,Rejected
Yes,489317,282132,10,736,881839,Rejected
No,798758,167455,15,695,490276,Rejected
No,1000915,275772,10,782,1654403,Approved
Yes,598462,161191,10,704,610075,Approved
No,752585,165925,10,757,1025569,Approved
Yes,714027,224414,15,650,945918,Rejected
No,821855,201886,15,691,456268,Rejected
No,666586,284144,20,758,1202936,Rejected
Yes,801675,264984,10,714,789555,Approved
No,753042,228844,20,666,938261,Rejected
Yes,713683,258681,10,765,714955,Rejected
No,902907,78890,10,754,537039,Approved
No,977982,217259,15,681,612480,Rejected
No,851244,233725,10,688,1125360,Rejected
No,1056200,128862,20,716,1167459,Approved
Yes,377401,52679,10,707,1245480,Approved
No,864822,226826,10,729,802110,Approved
No,841952,299782,15,750,1304631,Rejected
Yes,819678,171460,20,784,833118,Approved
Yes,968542,284610,15,733,911723,Approved
No,779689,289387,10,758,1729598,Rejected
No,711144,214634,15,741,1955461,Approved
No,233675,253332,20,764,916159,Rejected
Yes,675176,257634,10,672,1005827,Rejected
No,918534,112876,15,678,692219,Rejected
No,819363,119548,15,775,939984,Approved
Yes,779456,173670,10,753,519537,Approved
No,800920,210336,10,617,604841,Rejected
No,784842,112564,10,661,1195963,Rejected
No,505757,286838,15,724,1494764,Rejected
Yes,1063367,42650,10,647,1583706,Rejected
No,708183,180125,20,714,1062049,Approved
No,571316,257492,15,663,1173325,Rejected
Yes,845335,272310,20,647,948224,Rejected
No,877829,226916,15,797,1155328,Approved
No,300851,112016,10,758,1189508,Rejected
No,466521,99923,15,773,1164570,Approved
Yes,632829,12157,10,732,1985548,Approved
No,788863,379301,10,707,835775,Rejected
Yes,936290,344383,20,767,496081,Rejected
Yes,520091,225159,20,681,905724,Rejected
No,1136612,207727,20,804,804428,Approved
No,1135148,297666,15,786,1044986,Approved
Yes,823838,273496,15,599,701949,Rejected
Yes,678331,37218,10,743,1535085,Approved
Yes,605569,144052,10,792,410205,Approved
No,395328,235184,20,718,1186619,Rejected
No,657029,283501,15,685,733343,Rejected
No,936182,307350,10,802,1083407,Approved
No,750799,263851,15,660,1216116,Rejected
No,1302552,199371,10,779,1075625,Approved
No,737254,161868,15,811,1358667,Approved
No,1092501,145793,20,745,735208,Approved
No,798612,269142,10,730,941873,Rejected
No,909271,276813,15,801,1352998,Approved
No,484485,246427,15,748,572639,Rejected
Yes,881372,171208,15,790,792739,Approved
No,960499,237787,10,590,623593,Rejected
Yes,838725,358234,15,798,1159517,Rejected
No,797140,210996,20,665,756844,Rejected
No,735659,231653,10,755,1375824,Approved
Yes,796962,379801,15,639,497069,Rejected
No,897732,211987,15,781,1631850,Approved
No,556161,249057,15,662,948758,Rejected
No,1060846,215089,15,713,1420226,Approved
No,820369,254963,15,642,1120199,Rejected
Yes,490029,46697,15,681,1409542,Rejected
No,759147,214047,10,689,1643598,Rejected
No,675204,169110,10,670,725686,Rejected
No,600709,194460,20,753,1052058,Approved
No,639502,266434,15,759,606672,Rejected
Yes,834188,251642,15,717,2040777,Approved
Yes,912456,221844,15,668,596623,Rejected
No,444548,224293,10,658,816547,Rejected
Yes,904675,157303,15,796,1034691,Approved
No,865928,159307,15,701,1110542,Approved
No,646266,83007,15,729,651526,Approved
No,735091,234662,15,711,1066152,Approved
No,856494,315702,15,749,-25730,Rejected
Yes,862796,191114,15,762,314186,Rejected
No,997311,322124,10,686,684052,Rejected
Yes,718866,225475,15,699,540041,Rejected
No,757873,204851,10,714,734055,Approved
No,785386,196238,10,742,1140125,Approved
No,587072,156515,10,698,1392347,Rejected
No,429014,272327,15,782,221260,Rejected
Yes,503407,286102,15,711,1005050,Rejected
No,807964,252909,15,769,1260520,Approved
Yes,375217,237284,10,671,1232685,Rejected
No,839665,258686,10,744,1334102,Approved
No,642448,15774,15,637,1182865,Rejected
No,728843,151628,10,735,959080,Approved
No,960344,269929,10,649,636930,Rejected
Yes,898114,293136,10,750,641839,Approved
No,784011,163640,10,653,1010627,Rejected
No,826764,259263,10,700,1144724,Approved
No,483853,196319,15,699,1035544,Rejected
Yes,803119,143705,10,720,1251189,Approved
No,533368,235512,15,642,1503635,Rejected
No,652118,204375,10,775,767425,Approved
No,724994,185323,15,732,1229998,Approved
No,961028,211123,10,714,1143454,Approved
No,971748,183634,15,660,1254161,Rejected
No,546547,233908,10,765,585040,Rejected
No,659157,136592,20,795,1389819,Approved
No,962523,217783,10,628,1417418,Rejected
No,953073,293171,20,780,1160618,Approved
No,834323,156295,10,740,1194322,Approved
No,574267,185457,10,725,1090249,Approved
No,778242,91150,10,744,1007254,Approved
Yes,1119333,179835,15,631,1881717,Rejected
No,601373,228128,20,721,990646,Rejected
No,1058426,250376,20,635,1068972,Rejected
No,676722,109099,15,637,845620,Rejected
Yes,924526,318666,20,648,945385,Rejected
Yes,614114,179854,10,815,1543817,Approved
No,757546,-59953,10,731,1551843,Approved
Yes,829432,246347,10,651,1102367,Rejected
Yes,874473,270920,15,650,1158854,Rejected
No,499656,171877,15,719,1085311,Rejected
No,868964,249387,10,611,1794157,Rejected
No,845109,191047,10,716,777236,Approved
Yes,649287,203116,10,789,1231141,Approved
No,655516,205190,15,703,1410543,Approved
No,992106,122753,15,793,980009,Approved
Yes,651141,136060,15,747,1226392,Approved
No,632726,358449,15,770,480764,Rejected
No,834668,163274,15,723,708149,Approved
No,891575,194325,20,656,1257829,Rejected
No,807920,134816,15,598,883647,Rejected
No,819650,234456,15,701,319994,Rejected
No,844494,101611,20,732,1717874,Approved
No,880455,179570,10,722,1063319,Approved
No,771648,166826,15,709,534348,Approved
No,857748,241337,10,699,1471319,Rejected
No,689854,174290,10,745,766173,Approved
No,839668,245096,10,732,1037929,Approved
No,814948,134680,20,707,881235,Approved
Yes,1018822,57113,15,719,1650593,Approved
Yes,702849,208135,10,681,449652,Rejected
No,974571,82075,15,624,1266644,Rejected
No,1039561,105508,20,773,1297451,Approved
No,1236304,264396,10,705,891488,Approved
No,493201,162518,10,728,983351,Approved
No,374804,216808,15,758,802573,Rejected
No,822923,202337,20,790,816107,Approved
No,637576,340707,20,709,1418666,Rejected
No,740962,158791,10,738,1372638,Approved
No,753332,281034,10,783,568522,Rejected
Yes,863061,204605,15,670,1141853,Rejected
No,514897,271644,20,614,1021954,Rejected
Yes,749892,130748,10,684,1691208,Rejected
Yes,717859,316477,10,708,986526,Rejected
No,1110406,104567,20,777,763336,Approved
Yes,617178,336385,15,665,992998,Rejected
No,1058521,180330,15,799,1741372,Approved
Yes,799706,357145,15,694,1113914,Rejected
No,582489,84325,15,840,2135278,Approved
No,869780,173026,10,648,747551,Rejected
Yes,627348,311686,20,764,1103617,Rejected
No,767691,115722,15,719,229867,Rejected
No,541747,370881,10,703,1511482,Rejected
No,779324,270987,10,718,1325185,Rejected
No,719635,191457,20,689,1620209,Rejected
No,824449,12570,10,689,1263390,Rejected
No,740482,285536,10,748,662351,Rejected
No,740563,125652,10,795,1252048,Approved
No,744828,369561,10,803,1282639,Rejected
Yes,429969,194403,20,687,916646,Rejected
No,778324,172778,15,787,529060,Approved
Yes,492756,219385,10,711,1075087,Rejected
No,1019795,100657,10,768,1219112,Approved
No,983665,92515,20,720,1059015,Approved
No,739045,158826,15,653,1448534,Rejected
Yes,1133563,160061,10,705,1422865,Approved
Yes,528720,168206,15,725,755992,Approved
No,282829,217167,10,675,914070,Rejected
No,883912,108863,15,766,1040326,Approved
No,272831,134849,15,705,770826,Rejected
Yes,798864,160631,10,769,635130,Approved
No,833694,300356,10,735,332675,Rejected
No,1108566,141384,15,804,996600,Approved
Yes,509705,264506,10,766,1561413,Rejected
No,653033,97669,10,768,950991,Approved
No,975581,148906,20,746,199607,Rejected
No,938569,212721,15,663,1903816,Rejected
Yes,643587,298494,20,719,1168423,Rejected
No,815403,205714,15,791,476389,Approved
No,803895,127688,20,783,752164,Approved
No,780149,244668,10,660,614607,Rejected
No,1032050,103457,10,751,1303968,Approved
No,836374,305557,10,694,1132453,Rejected
Yes,944649,168122,10,683,2000555,Rejected
No,814562,184708,15,652,563266,Rejected
Yes,719082,125803,10,661,1773183,Rejected
No,557678,247548,15,618,1373515,Rejected
No,709560,179529,15,657,1254797,Rejected
No,310221,111227,15,715,1219797,Rejected
No,800825,150527,15,669,1245363,Rejected
No,708720,35601,10,691,770715,Rejected
No,1102223,171265,10,747,1096803,Approved
No,721651,313059,10,703,682388,Rejected
No,658776,307127,20,747,887079,Rejected
Yes,633763,192623,15,820,1905889,Approved
No,869060,215562,15,593,1317000,Rejected
Yes,996097,195425,15,748,1101182,Approved
No,540380,227795,15,723,1485700,Rejected
Yes,805907,162555,10,668,270350,Rejected
No,1061931,222737,20,732,1122039,Approved
No,804476,153022,10,725,542008,Approved
No,597499,243105,10,783,244873,Rejected
Yes,1176154,188249,10,763,549858,Approved
Yes,828677,219741,15,726,774770,Approved
Yes,922330,264745,15,659,2165575,Rejected
No,582469,215818,10,665,904755,Rejected
No,598620,262006,10,714,1151274,Rejected
No,989786,191978,15,619,654859,Rejected
No,711123,240242,10,743,951075,Rejected
No,810758,162609,15,775,1782776,Approved
No,739602,168532,15,757,992118,Approved
No,523880,190303,15,664,887199,Rejected
No,818336,382162,10,661,336676,Rejected
No,725102,235890,10,767,1302288,Approved
No,1002310,249413,15,732,1398979,Approved
Yes,808249,131481,15,749,614862,Approved
No,440444,140752,10,698,1210485,Rejected
Yes,792350,172826,15,741,1225868,Approved
No,632495,152043,10,742,110156,Rejected
No,1202800,206245,10,683,689483,Rejected
No,793407,109483,10,723,297625,Approved
Yes,773739,203770,15,763,696039,Approved
Yes,492108,160971,15,729,1178498,Approved
Yes,569972,166968,20,758,867432,Approved
No,656451,249214,10,683,494594,Rejected
No,868169,201418,15,764,1047602,Approved
No,767493,177591,20,726,1515629,Approved
No,767404,283081,10,726,1571929,Rejected
No,789670,220178,15,726,690655,Approved
No,604775,214364,20,657,788592,Rejected
No,865227,347188,20,731,1146274,Rejected
Yes,580548,325588,15,755,509429,Rejected
Yes,668858,167293,20,710,916245,Approved
Yes,710845,292146,20,753,380152,Rejected
No,745527,176722,15,706,1037775,Approved
No,926048,238039,10,786,1420961,Approved
No,861729,153973,15,714,1005449,Approved
Yes,850439,222138,15,665,834074,Rejected
No,853800,132637,10,734,-32215,Rejected
Yes,824178,149311,10,730,1031832,Approved
No,614099,254391,15,767,1051482,Rejected
Yes,671734,237233,10,746,735446,Rejected
No,989675,191893,10,758,683336,Approved
No,907296,151231,15,721,1376401,Approved
No,770483,121580,15,701,290784,Approved
No,961735,90487,20,707,745902,Approved
No,840300,162185,15,817,966467,Approved
Yes,1044797,109289,15,760,1327069,Approved
No,876096,350256,10,697,1455067,Rejected
No,701247,102765,10,725,771353,Approved
No,665828,239983,10,704,1960808,Rejected
Yes,846467,266545,10,744,1266167,Approved
No,747565,146009,15,733,1930324,Approved
Yes,367996,281818,20,727,1135421,Rejected
No,808699,-105887,10,709,768308,Approved
No,635849,251023,15,606,1209039,Rejected
No,797710,238016,15,761,1195058,Approved
No,394626,127472,20,668,745895,Rejected
No,939070,149197,20,755,922032,Approved
Yes,872161,191051,15,809,1420824,Approved
No,645452,262922,20,720,1310035,Rejected
No,578885,121244,15,682,754292,Rejected
No,802215,250800,10,769,426552,Rejected
Yes,111532,220207,10,673,920539,Rejected
No,518932,206803,15,702,924597,Rejected
No,818603,275923,15,763,196410,Rejected
No,823230,154084,15,739,1216048,Approved
Yes,1158801,129747,15,581,908888,Rejected
No,666499,297002,15,672,857525,Rejected
No,730073,264200,15,677,389532,Rejected
No,639354,30195,20,741,1462287,Approved
No,744862,222468,10,680,714614,Rejected
Yes,795072,259205,15,690,713120,Rejected
No,605730,180115,10,735,465635,Approved
No,1078326,283948,10,617,1102137,Rejected
No,820790,339369,15,660,1280226,Rejected
No,948112,200318,20,665,1108042,Rejected
No,826875,208371,15,684,1100391,Rejected
No,688617,182809,10,707,1158527,Approved
No,857181,41915,15,722,1355480,Approved
No,769749,193785,15,691,1020661,Rejected
No,615528,165502,10,743,1435826,Approved
No,561165,159871,15,639,1066660,Rejected
No,667356,266016,20,803,1694747,Rejected
No,578087,216321,15,728,1744755,Rejected
No,1124875,126568,15,751,977396,Approved
No,829304,226805,20,720,561874,Approved
No,751283,238325,20,831,895935,Approved
No,557736,222130,10,695,1247565,Rejected
No,1006038,215152,20,749,559597,Approved
No,247304,260922,10,658,551176,Rejected
No,783131,292462,10,648,562129,Rejected
Yes,900241,250683,10,711,1233162,Approved
No,711484,51066,10,764,678076,Approved
No,537619,177356,15,828,1460343,Approved
Yes,1012255,286734,15,795,1254523,Approved
No,857847,36983,15,659,1075899,Rejected
No,736523,237359,20,695,713366,Rejected
Yes,651753,173448,10,694,850237,Rejected
No,334832,212067,15,779,984206,Rejected
No,805114,117558,20,757,1120584,Approved
No,805062,62679,20,759,1004182,Approved
No,806315,147367,10,713,561260,Approved
No,-120425,191085,10,663,512771,Rejected
No,825118,44932,15,680,1210670,Rejected
Yes,770558,190800,20,736,206768,Rejected
No,896666,24787,15,676,878415,Rejected
No,528941,181051,10,820,1299830,Rejected
No,493262,162244,10,775,387911,Approved
No,840401,194848,10,791,773727,Approved
No,744377,238336,15,728,1657127,Approved
No,888846,284260,10,746,175156,Rejected
Yes,747349,137171,10,679,1123520,Rejected
No,526499,210384,15,834,827741,Rejected
No,758493,103049,15,766,685358,Approved
Yes,602891,147672,15,685,1231485,Rejected
No,760860,159318,20,699,842459,Rejected
Yes,727985,143642,15,635,666612,Rejected
Yes,716496,103005,10,643,1388271,Rejected
Yes,804060,103736,20,732,1136789,Approved
No,298725,248821,20,729,756188,Rejected
No,489202,277224,15,663,793732,Rejected
Yes,618880,106262,10,781,1372411,Approved
Yes,774394,142083,10,681,1362340,Rejected
No,857366,325293,10,693,1510088,Rejected
Yes,741733,166888,10,699,1006668,Rejected
Yes,801584,26501,10,779,506550,Approved
No,571282,193374,10,683,740403,Rejected
No,864471,188775,20,818,1874574,Approved
No,1061478,126586,20,698,1229658,Rejected
No,756158,146554,15,659,1060205,Rejected
Yes,611005,329490,10,669,1208961,Rejected
Yes,710223,130302,15,820,944673,Approved
Yes,933110,135803,15,701,1321481,Approved
Yes,779492,284192,20,742,369514,Rejected
No,574958,199381,15,654,1672130,Rejected
No,845270,223543,20,743,1707669,Approved
No,698508,201781,20,734,1861535,Approved
Yes,362934,173023,10,752,425960,Rejected
No,964903,301424,15,762,1103754,Approved
No,714646,232465,15,681,539462,Rejected
Yes,1317991,203035,15,692,874471,Rejected
No,800491,267811,15,712,507988,Rejected
Yes,611668,128567,10,647,1579187,Rejected
No,644082,184318,10,735,1052701,Approved
No,701702,183363,10,741,681564,Approved
No,829245,130678,20,687,1926385,Rejected
No,604783,185243,20,700,1050749,Approved
Yes,648546,171421,10,731,347722,Approved
Yes,1247292,184092,20,749,180500,Rejected
No,816766,205173,10,607,1180613,Rejected
Yes,734977,169482,15,755,1226128,Approved
No,1029846,264365,15,611,412911,Rejected
Yes,660451,212463,10,745,615809,Approved
No,643145,214096,20,728,1165401,Approved
No,491395,155703,15,644,626124,Rejected
No,1165281,207539,15,759,1051032,Approved
No,762731,125857,20,727,746700,Approved
Yes,517355,161149,10,715,786260,Approved
No,434697,286800,10,708,1573557,Rejected
No,748867,368333,15,724,959939,Rejected
Yes,862420,126441,15,700,1157512,Approved
Yes,785967,173284,15,746,1335108,Approved
No,883370,235144,15,768,486237,Approved
No,870503,198505,20,757,1245657,Approved
No,822265,89141,20,704,530292,Approved
No,827675,250588,10,712,698676,Approved
No,475563,280202,15,755,1125630,Rejected
No,861214,93062,10,700,515017,Approved
Yes,364453,156054,10,637,1217135,Rejected
Yes,1163306,198123,15,722,609530,Approved
No,615181,190369,15,711,1156248,Approved
No,455021,216550,10,741,841560,Rejected
No,747083,159250,20,715,344704,Approved
No,579089,273170,15,677,1060228,Rejected
No,929647,186646,10,725,1269081,Approved
No,516185,232645,10,725,930916,Rejected
No,495530,175738,10,717,1061481,Rejected
No,783541,94969,20,712,1368181,Approved
No,314236,178916,10,673,1043919,Rejected
No,829820,30291,20,712,739493,Approved
No,791143,188723,15,783,551017,Approved
Yes,581675,236235,10,729,1752655,Rejected
No,584981,52492,10,717,1583751,Approved
Yes,736379,123962,15,700,1122116,Approved
No,288192,137209,10,735,1522457,Rejected
Yes,368514,285545,10,708,1052890,Rejected
No,888881,276082,10,738,1403502,Approved
No,1048589,125272,20,732,322990,Approved
No,713435,259476,20,627,884166,Rejected
Yes,1068844,231676,10,656,849145,Rejected
Yes,740138,106496,15,718,467496,Approved
No,774991,131562,20,784,728541,Approved
Yes,1127015,176940,10,635,-116498,Rejected
No,684387,250896,10,677,128310,Rejected
No,1077506,334192,15,694,1250954,Rejected
No,372058,413071,15,719,1076342,Rejected
No,816380,206935,10,749,1109893,Approved
No,954060,143329,20,752,1076621,Approved
Yes,745656,229423,10,615,191498,Rejected
No,843825,338584,20,721,884235,Rejected
No,392583,226372,20,787,1207161,Rejected
No,785929,258916,15,711,906844,Approved
No,733758,233522,15,569,1693989,Rejected
No,716519,218318,15,806,862481,Approved
No,490503,133580,10,719,1235058,Approved
Yes,574258,231418,15,770,1201506,Rejected
No,942218,234219,20,675,1514725,Rejected
Yes,728820,274525,15,765,187869,Rejected
Yes,790633,221182,10,780,1080910,Approved
Yes,903185,196791,20,686,720251,Rejected
No,825979,286008,20,687,-10697,Rejected
No,734631,248202,15,793,1003105,Rejected
No,850322,260869,15,716,1630583,Approved
No,670285,362347,10,660,602800,Rejected
Yes,719506,214683,10,697,1365581,Rejected
No,657531,303531,15,797,936771,Rejected
No,882863,244841,10,635,1147528,Rejected
Yes,939976,295589,20,706,1602086,Approved
No,664013,169372,20,670,1432888,Rejected
No,1016172,279299,15,695,1005691,Rejected
No,521426,140564,10,778,1209973,Approved
Yes,352019,123430,20,690,1149234,Rejected
Yes,758360,182219,10,789,453723,Approved
Yes,912146,264767,15,773,1539534,Approved
Yes,794181,148474,10,806,1236661,Approved
Yes,582679,109952,10,642,851589,Rejected
Yes,975009,180210,10,742,871038,Approved
No,695497,234240,15,779,1190358,Rejected
No,791690,201468,20,737,828692,Approved
Yes,931678,233228,15,636,1147492,Rejected
No,800111,202345,15,647,1219670,Rejected
No,996522,260423,20,647,1186787,Rejected
No,1038764,317775,20,743,380205,Rejected
Yes,538896,162462,15,676,1019212,Rejected
No,669336,269387,20,685,1271746,Rejected
No,1041295,284082,10,728,984051,Approved
No,986541,245650,15,714,1137523,Approved
No,1032320,185455,10,746,1227241,Approved
No,885178,179129,10,726,824967,Approved
Yes,732923,222463,20,698,1332234,Rejected
No,499573,402730,15,667,899299,Rejected
No,783204,278648,15,652,1161878,Rejected
No,760757,33609,15,606,1007455,Rejected
Yes,687438,268977,10,635,1385138,Rejected
Yes,962971,148214,10,744,1598215,Approved
No,568848,134236,10,835,1749392,Approved
Yes,789900,216417,20,701,1479841,Approved
No,672202,219118,20,762,564824,Approved
No,1102404,198053,15,717,881598,Approved
Yes,968907,136839,15,700,532821,Approved
No,833973,151157,15,750,1339665,Approved
No,436517,168917,15,678,727852,Rejected
No,1049658,224559,15,656,783535,Rejected
Yes,799209,201223,15,704,1471098,Approved
No,904957,128895,20,733,2024869,Approved
No,751559,265799,10,680,1323838,Rejected
No,484503,332691,15,736,1087008,Rejected
Yes,929700,239529,15,713,1333159,Approved
No,726423,285986,15,731,1373839,Rejected
No,1416569,191514,10,794,-112075,Rejected
No,712889,213711,10,721,1118507,Approved
No,766377,145194,10,646,811945,Rejected
No,768700,139528,10,783,712789,Approved
Yes,943147,190498,10,633,1076568,Rejected
Yes,811136,210626,15,748,1211871,Approved
No,876576,266913,15,707,902655,Approved
No,884219,211387,20,677,2004111,Rejected
No,480519,121138,10,728,755524,Approved
No,429794,199787,20,782,828132,Rejected
No,405473,399352,10,731,985702,Rejected
No,692894,153693,15,764,1337818,Approved
No,736491,271015,10,701,200615,Rejected
Yes,740474,160879,15,604,322642,Rejected
No,697795,126413,10,757,1440195,Approved
No,956169,58797,15,664,1009876,Rejected
No,862315,146834,15,691,458632,Rejected
No,1094626,116964,20,659,997254,Rejected
Yes,984479,191330,10,683,713208,Rejected
No,758760,117664,15,688,773544,Rejected
Yes,630251,196204,10,700,1229380,Approved
No,721589,37266,15,719,1001172,Approved
Yes,901338,191958,10,741,1609297,Approved
No,744903,154700,10,729,807316,Approved
No,1008325,189921,15,753,1104759,Approved
No,897586,238078,15,708,1114889,Approved
No,1138633,275017,10,703,821793,Approved
Yes,598934,243917,20,759,993070,Rejected
No,544781,158203,10,717,1146195,Approved
No,658649,205104,20,683,1323724,Rejected
Yes,461985,169253,15,757,1212780,Rejected
No,625780,244489,10,704,1292828,Rejected
No,830188,129010,20,723,1452424,Approved
No,746771,180771,15,678,897903,Rejected
No,950197,237931,15,722,1266017,Approved
No,639486,359451,20,767,809084,Rejected
Yes,665499,179968,10,730,1018291,Approved
No,677113,221363,10,762,644259,Approved
No,548123,159141,20,748,1014326,Approved
No,711339,161792,20,742,1153028,Approved
No,666116,66385,15,675,1412313,Rejected
No,628393,276636,15,740,885580,Rejected
Yes,864966,70732,15,685,1499740,Rejected
No,653171,322324,10,823,364850,Rejected
No,888925,108696,15,772,899568,Approved
No,1237344,97702,15,682,1205462,Rejected
No,978904,217126,10,712,1478617,Approved
No,917670,239143,10,785,883012,Approved
No,516613,196844,15,723,1203010,Rejected
No,658301,322336,10,667,1949245,Rejected
Yes,868773,278221,10,666,699740,Rejected
No,644099,91998,10,692,1365097,Rejected
Yes,734996,312404,10,726,1135792,Rejected
No,939150,196020,10,715,1080465,Approved
No,854368,267536,15,731,977555,Approved
No,557449,204851,15,685,535206,Rejected
Yes,305127,124228,20,712,1304486,Rejected
Yes,875734,101966,15,699,1066363,Rejected
Yes,455123,161928,15,717,950693,Rejected
No,941961,106438,10,745,1770620,Approved
No,687114,121406,20,696,1069901,Rejected
Yes,657954,237616,15,777,321874,Rejected
No,571913,220095,10,752,1421094,Rejected
No,977812,168049,10,805,547194,Approved
Yes,1203227,207586,20,742,1126346,Approved
No,818948,197047,15,789,1268468,Approved
No,845647,209907,20,654,450138,Rejected
No,578236,216093,10,711,1151727,Rejected
No,493486,292964,10,717,1057125,Rejected
No,855593,316580,20,685,908353,Rejected
Yes,692297,197626,15,810,1037870,Approved
Yes,803735,140741,10,721,1030631,Approved
No,662724,318575,10,760,1235919,Rejected
No,484132,289922,15,756,1540971,Rejected
No,723781,180769,15,701,574477,Approved
Yes,634797,282089,15,780,848905,Rejected
No,561098,234944,20,795,1179504,Rejected
No,701447,187928,15,673,803457,Rejected
No,855584,279867,10,732,1908156,Approved
Yes,418014,193793,10,735,334226,Rejected
Yes,746125,218981,10,718,809265,Approved
Yes,886064,184895,20,652,444116,Rejected
No,948965,381826,10,618,1144015,Rejected
No,1097931,246673,10,704,1266536,Approved
No,851436,289246,15,764,-26538,Rejected
Yes,978492,204638,15,737,1558830,Approved
No,514163,173330,15,756,1113374,Rejected
No,688538,134033,20,812,1415994,Approved
No,869477,176162,15,720,1464709,Approved
No,773404,256624,10,666,790655,Rejected
No,1053333,215935,15,630,1651825,Rejected
No,763774,272802,10,790,1592768,Rejected
Yes,802897,109905,15,744,1273745,Approved
No,840421,80468,15,716,774114,Approved
No,767544,232791,15,857,347786,Rejected
Yes,501076,300550,15,797,550684,Rejected
No,542450,221681,15,748,358873,Rejected
Yes,740417,161716,10,738,1201314,Approved
No,490059,224074,15,729,552231,Rejected
No,1220035,187178,15,740,1032782,Approved
No,628873,195227,10,689,1307901,Rejected
No,809435,216451,10,709,685294,Approved
No,894135,265191,15,705,973814,Approved
No,865187,258871,10,720,1407400,Approved
No,444136,247627,15,766,361562,Rejected
No,730294,67177,20,721,1029121,Approved
No,806237,210477,15,669,814260,Rejected
No,588471,337757,10,679,421687,Rejected
No,526128,144630,15,694,743124,Rejected
Yes,321966,113114,10,737,2331174,Rejected
Yes,1128834,285640,20,674,484068,Rejected
No,698794,268298,10,688,1240075,Rejected
No,735252,310660,15,756,717020,Rejected
No,495045,190275,20,761,1400475,Rejected
No,639767,186364,10,766,1475452,Approved
No,708673,231920,15,711,1161484,Approved
No,518928,220688,15,774,788439,Rejected
No,797160,159504,15,649,867008,Rejected
No,722843,279288,10,785,1220619,Rejected
No,681060,-3020,15,771,520634,Approved
No,680716,242020,10,802,1031783,Rejected
Yes,1052245,160455,10,745,931582,Approved
No,685728,227970,10,686,967623,Rejected
No,664169,221704,15,703,624395,Rejected
No,835273,306482,15,735,1151029,Rejected
No,1168972,131896,10,713,1802018,Approved
Yes,835794,269230,10,759,1154494,Approved
No,572580,224523,20,662,1791118,Rejected
No,852153,195663,10,669,874605,Rejected
Yes,299326,252726,15,662,698292,Rejected
Yes,997990,273683,15,803,1690549,Approved
Yes,579409,108320,10,682,525960,Rejected
No,209461,154423,10,714,871902,Rejected
Yes,461271,142671,15,690,631694,Rejected
No,628279,325156,15,711,1196885,Rejected
Yes,746610,371937,15,647,566665,Rejected
No,898669,211222,10,705,420761,Rejected
Yes,751318,201353,20,741,729683,Approved
No,387076,172460,20,678,799355,Rejected
No,915447,174433,10,770,818688,Approved
Yes,838659,352812,15,773,1096180,Rejected
No,885862,235828,20,741,1641013,Approved
No,591826,52916,10,709,1762644,Approved
No,785198,263016,15,705,1039560,Rejected
No,482666,315143,15,781,1176003,Rejected
No,744815,75982,20,697,523348,Rejected
No,784925,251427,15,754,1123091,Approved
No,608631,112929,15,721,1172557,Approved
No,778556,319878,20,805,795206,Rejected
No,707439,118813,15,764,1179330,Approved
No,804678,303929,20,689,-413,Rejected
No,773595,243791,10,640,1318124,Rejected
No,870250,91481,15,700,203061,Approved
No,821147,293503,15,703,1319444,Rejected
