Scheme_Name,Interest_Rate,Loan_Term_Years,Min_Income,Max_Income,Min_CIBIL,Max_CIBIL,Min_Loan_Amount,Max_Loan_Amount,Bank_Name,Loan_Type
PNB Housing Finance Home Loan,7.215799559752881,9,85049.0,117587.0,819.0,850.0,1880177.0,4962808.0,Axis Bank,Home
PNB Pride Housing Loan,11.455715568490355,29,49265.0,123733.0,760.0,894.0,856671.0,3951738.0,Kotak Mahindra Bank,Home
SBI Regular Home Loan,9.6385055454315,24,43880.0,188306.0,799.0,851.0,1434747.0,4944195.0,ICICI Bank,Home
ICICI Insta Home Loan,11.964823980596503,12,20255.0,199423.0,764.0,871.0,2116651.0,4742611.0,HDFC Bank,Home
ICICI Insta Home Loan,7.368982823676994,10,21502.0,103975.0,833.0,895.0,927531.0,4010933.0,Axis Bank,Home
ICICI Insta Home Loan,9.769271422006604,15,90192.0,178455.0,723.0,882.0,1842755.0,3336005.0,ICICI Bank,Home
Baroda Home Loan,11.846512678095495,23,85424.0,175138.0,736.0,864.0,1059132.0,4188162.0,ICICI Bank,Home
PNB Pride Housing Loan,9.615489220850744,8,95838.0,145463.0,744.0,899.0,2054058.0,4114269.0,Bank of Baroda,Home
PNB Pride Housing Loan,10.146993190676312,22,90966.0,199596.0,799.0,890.0,778964.0,3792661.0,Bank of Baroda,Home
Baroda Top Up Loan,10.478743444923087,5,61366.0,142154.0,801.0,871.0,1767653.0,3129265.0,Punjab National Bank,Home
ICICI Insta Home Loan,9.272705323838867,17,47425.0,175676.0,762.0,889.0,808820.0,2936610.0,Punjab National Bank,Home
ICICI Insta Home Loan,10.137790400420318,18,72328.0,186706.0,728.0,888.0,2305897.0,4273201.0,Bank of Baroda,Home
Baroda Home Loan,9.9215715596155,28,87396.0,128830.0,800.0,890.0,812058.0,3877280.0,HDFC Bank,Home
Kotak Mahindra Home Loan,11.505790052454945,5,91694.0,172126.0,808.0,890.0,2204671.0,4426772.0,State Bank of India,Home
Baroda Top Up Loan,7.227231901707289,15,25806.0,146745.0,795.0,860.0,834894.0,2998559.0,ICICI Bank,Home
HDFC Reach Home Loans,8.40481594796115,21,37106.0,130609.0,709.0,853.0,523968.0,3696569.0,Axis Bank,Home
PNB Housing Finance Home Loan,11.752057420382794,8,76731.0,117401.0,734.0,856.0,1855344.0,3973971.0,Punjab National Bank,Home
Axis Bank Home Loan,11.451318919454582,16,95010.0,127729.0,754.0,870.0,1913118.0,4256171.0,Axis Bank,Home
ICICI Insta Home Loan,9.278283763928565,14,52599.0,145167.0,795.0,856.0,1080034.0,4235973.0,ICICI Bank,Home
SBI FlexiPay Home Loan,10.100662989007684,10,91326.0,194181.0,822.0,853.0,1880984.0,2533275.0,Bank of Baroda,Home
Axis Asha Home Loan,8.386905914905663,29,95706.0,157391.0,711.0,861.0,624458.0,3323124.0,ICICI Bank,Home
SBI Regular Home Loan,7.940605798618806,5,29004.0,194583.0,703.0,876.0,2371505.0,4343880.0,ICICI Bank,Home
Kotak Delight Home Loans,9.31849202469991,11,71364.0,158171.0,805.0,866.0,900457.0,3076052.0,Punjab National Bank,Home
ICICI Home Loan,8.766761140130264,25,45792.0,188096.0,789.0,869.0,2286932.0,2619564.0,Punjab National Bank,Home
HDFC Home Loan,9.91828055925436,20,84912.0,106647.0,766.0,880.0,707080.0,4463276.0,Bank of Baroda,Home
Kotak Delight Home Loans,7.388673184824924,28,74645.0,121106.0,844.0,875.0,1525898.0,4097330.0,Bank of Baroda,Home
PNB Pride Housing Loan,11.871974038330833,18,27232.0,106015.0,764.0,880.0,1216999.0,2908978.0,Kotak Mahindra Bank,Home
HDFC Home Loan,11.931053722398016,27,98210.0,121506.0,781.0,884.0,1041345.0,3174290.0,Bank of Baroda,Home
HDFC Reach Home Loans,10.490808570098725,24,74766.0,124067.0,804.0,858.0,811844.0,3733861.0,HDFC Bank,Home
PNB Pride Housing Loan,9.680481831720602,24,68542.0,102056.0,783.0,854.0,1279176.0,4254310.0,Punjab National Bank,Home
Baroda Home Loan,8.54763808143164,10,25913.0,197255.0,804.0,897.0,1038720.0,4785126.0,State Bank of India,Home
Kotak Mahindra Home Loan,11.068975098534743,26,30567.0,129328.0,814.0,857.0,2134352.0,4174742.0,Punjab National Bank,Home
HDFC Reach Home Loans,10.423655862769397,29,58379.0,177712.0,727.0,870.0,2172063.0,3341307.0,ICICI Bank,Home
SBI Regular Home Loan,7.813084696724457,9,94968.0,152832.0,715.0,865.0,2091817.0,3981106.0,Bank of Baroda,Home
Axis Bank Home Loan,11.554635922469213,28,20319.0,142771.0,720.0,865.0,756039.0,2716272.0,ICICI Bank,Home
PNB Housing Finance Home Loan,11.112686214615845,25,24791.0,197421.0,776.0,867.0,1762481.0,2951631.0,HDFC Bank,Home
HDFC Home Loan,11.74899956645962,22,20329.0,186805.0,741.0,896.0,615864.0,2844604.0,ICICI Bank,Home
Kotak Mahindra Home Loan,10.6285975419418,19,94387.0,146515.0,753.0,877.0,2047369.0,3070543.0,Bank of Baroda,Home
ICICI Insta Home Loan,10.06707597967895,10,81032.0,164538.0,731.0,867.0,1227592.0,2811806.0,Axis Bank,Home
Kotak Delight Home Loans,9.091215181453094,29,64078.0,168650.0,813.0,863.0,1577923.0,2850226.0,Bank of Baroda,Home
PNB Pride Housing Loan,11.663642416770067,23,41300.0,178978.0,737.0,897.0,1045537.0,3104654.0,Bank of Baroda,Home
HDFC Reach Home Loans,11.330319447502042,5,95700.0,140151.0,813.0,886.0,946674.0,2549496.0,Bank of Baroda,Home
Kotak Mahindra Home Loan,7.226093350530947,5,70945.0,101629.0,809.0,889.0,716265.0,4962779.0,Axis Bank,Home
Axis Asha Home Loan,7.13183487248626,17,75609.0,183463.0,802.0,865.0,981712.0,3736883.0,Kotak Mahindra Bank,Home
Baroda Home Loan,8.882316834390249,7,80562.0,196853.0,776.0,870.0,613346.0,4052530.0,Bank of Baroda,Home
Baroda Home Loan,11.052766653909163,14,81901.0,189432.0,839.0,850.0,1369874.0,4969161.0,HDFC Bank,Home
PNB Pride Housing Loan,11.936380646574722,25,25703.0,128155.0,752.0,860.0,1538617.0,4181739.0,Punjab National Bank,Home
Baroda Home Loan,7.752084455517641,7,83115.0,118288.0,820.0,860.0,1392213.0,3308635.0,HDFC Bank,Home
Baroda Top Up Loan,9.970653576760675,13,47676.0,150588.0,702.0,851.0,896018.0,4055267.0,Punjab National Bank,Home
ICICI Insta Home Loan,8.904454283155108,12,81710.0,186951.0,753.0,881.0,2436434.0,3379824.0,Bank of Baroda,Home
SBI FlexiPay Home Loan,11.849571989073016,7,80077.0,136085.0,739.0,868.0,2183950.0,4118506.0,Bank of Baroda,Home
Kotak Mahindra Home Loan,11.210594615678543,29,65440.0,111251.0,767.0,854.0,2304696.0,4344494.0,Bank of Baroda,Home
Axis Asha Home Loan,11.19164352355569,17,56923.0,125574.0,813.0,852.0,1828753.0,3740243.0,Punjab National Bank,Home
ICICI Insta Home Loan,9.34346579897485,10,49802.0,109623.0,829.0,877.0,1059376.0,3079078.0,HDFC Bank,Home
Baroda Top Up Loan,9.074097511688326,17,82904.0,186472.0,741.0,875.0,2181865.0,3887957.0,Axis Bank,Home
Axis Asha Home Loan,8.367035359653531,27,80162.0,154715.0,793.0,872.0,1303959.0,4350380.0,State Bank of India,Home
PNB Housing Finance Home Loan,7.281877483254636,24,85169.0,106123.0,848.0,879.0,2478044.0,2526611.0,Punjab National Bank,Home
Kotak Delight Home Loans,11.323611881275266,24,88147.0,103061.0,800.0,857.0,803149.0,3291955.0,HDFC Bank,Home
Baroda Home Loan,11.064505045650389,16,42075.0,139095.0,823.0,885.0,1240594.0,3175593.0,HDFC Bank,Home
Kotak Mahindra Home Loan,11.998588366430653,17,94716.0,159618.0,701.0,878.0,1815126.0,4189329.0,Punjab National Bank,Home
Axis Bank Home Loan,11.983184185369527,6,29304.0,128451.0,790.0,862.0,1993553.0,4382532.0,Bank of Baroda,Home
SBI FlexiPay Home Loan,9.777158528013137,25,79622.0,181897.0,758.0,874.0,594538.0,3267155.0,Bank of Baroda,Home
Axis Asha Home Loan,10.844937075902553,28,74215.0,181443.0,797.0,871.0,2004139.0,4813202.0,HDFC Bank,Home
Baroda Home Loan,11.723828649412141,27,93973.0,134814.0,715.0,895.0,1228487.0,4688570.0,Bank of Baroda,Home
ICICI Insta Home Loan,11.248236953387057,20,32521.0,185141.0,847.0,882.0,1682767.0,3368029.0,Axis Bank,Home
SBI Regular Home Loan,8.236740508715988,27,44028.0,197792.0,715.0,886.0,1271448.0,4339418.0,Punjab National Bank,Home
Axis Asha Home Loan,9.252720676550467,10,59328.0,176868.0,807.0,856.0,1607511.0,4091828.0,Kotak Mahindra Bank,Home
SBI FlexiPay Home Loan,7.645797075757475,23,47301.0,137832.0,722.0,872.0,1278247.0,3619247.0,Punjab National Bank,Home
ICICI Home Loan,11.770255136293612,25,58015.0,195012.0,741.0,855.0,1606903.0,3662704.0,Kotak Mahindra Bank,Home
Kotak Delight Home Loans,10.0308731722544,17,56845.0,109445.0,736.0,864.0,2394102.0,2639674.0,HDFC Bank,Home
HDFC Home Loan,8.143214027517313,21,96394.0,133490.0,771.0,864.0,2291345.0,3002571.0,Axis Bank,Home
Axis Bank Home Loan,10.358503422029283,27,64159.0,129767.0,833.0,889.0,1650391.0,2688317.0,Punjab National Bank,Home
PNB Pride Housing Loan,10.09064120228948,13,63714.0,146057.0,815.0,883.0,1912852.0,3465454.0,Bank of Baroda,Home
ICICI Insta Home Loan,8.790813590164202,21,45230.0,180746.0,849.0,863.0,1893205.0,4274307.0,Bank of Baroda,Home
SBI FlexiPay Home Loan,7.567787960998145,6,69262.0,189695.0,705.0,878.0,1425155.0,4688754.0,Punjab National Bank,Home
HDFC Home Loan,10.357865977963998,23,61722.0,173100.0,731.0,865.0,1444400.0,4436655.0,Punjab National Bank,Home
Axis Asha Home Loan,9.601538504518967,23,66359.0,141043.0,844.0,878.0,1645772.0,4714326.0,Kotak Mahindra Bank,Home
SBI Regular Home Loan,10.861591958678197,28,82796.0,186755.0,737.0,872.0,607396.0,4411313.0,Bank of Baroda,Home
Axis Bank Home Loan,9.600817505559966,11,60159.0,127946.0,844.0,859.0,1558946.0,2818169.0,State Bank of India,Home
Kotak Mahindra Home Loan,11.260907501592701,26,25239.0,136587.0,736.0,896.0,2379560.0,4257642.0,Kotak Mahindra Bank,Home
SBI FlexiPay Home Loan,9.759534193872428,14,70886.0,103364.0,760.0,853.0,2173939.0,2500819.0,Bank of Baroda,Home
Kotak Delight Home Loans,9.804689857676932,14,47195.0,169854.0,776.0,861.0,899993.0,3715031.0,HDFC Bank,Home
Axis Asha Home Loan,11.383268013291726,24,54674.0,156088.0,826.0,891.0,2204049.0,4020476.0,Bank of Baroda,Home
SBI FlexiPay Home Loan,9.017414331061985,13,38105.0,177015.0,785.0,883.0,893747.0,3620181.0,ICICI Bank,Home
Axis Bank Home Loan,7.670076142253204,21,49739.0,107398.0,706.0,853.0,1165074.0,2767784.0,Punjab National Bank,Home
ICICI Home Loan,7.143913381566695,19,51969.0,102452.0,849.0,869.0,2207346.0,4132752.0,HDFC Bank,Home
Axis Asha Home Loan,10.775686278368095,6,34497.0,187208.0,784.0,877.0,1099060.0,3913008.0,Bank of Baroda,Home
Kotak Mahindra Home Loan,10.101547756767324,8,21816.0,133193.0,705.0,877.0,2193391.0,4028602.0,Kotak Mahindra Bank,Home
ICICI Insta Home Loan,10.520398840496117,23,79254.0,179401.0,841.0,855.0,1835328.0,3086532.0,Axis Bank,Home
Axis Bank Home Loan,8.064820807544553,21,89385.0,125345.0,843.0,863.0,1819044.0,4801461.0,Axis Bank,Home
Axis Bank Home Loan,7.681857377933849,9,53826.0,185895.0,702.0,884.0,2149559.0,3548514.0,Bank of Baroda,Home
Kotak Delight Home Loans,7.07272332833941,11,83365.0,174335.0,836.0,896.0,1451998.0,4852994.0,Axis Bank,Home
Kotak Delight Home Loans,8.752937794032984,22,70100.0,159196.0,746.0,850.0,816366.0,4258023.0,Axis Bank,Home
Kotak Mahindra Home Loan,9.949588434273165,25,24359.0,123053.0,784.0,868.0,1196345.0,3067930.0,State Bank of India,Home
Baroda Top Up Loan,8.96122022549866,26,32809.0,183220.0,793.0,850.0,1121931.0,3268735.0,HDFC Bank,Home
HDFC Home Loan,9.187374610118646,11,84450.0,105015.0,722.0,862.0,2301307.0,3921153.0,ICICI Bank,Home
ICICI Insta Home Loan,11.520793472468743,21,58428.0,197201.0,702.0,857.0,1856320.0,3017528.0,Punjab National Bank,Home
Kotak Delight Home Loans,8.741277335116502,11,92790.0,108657.0,828.0,867.0,509453.0,3464393.0,Punjab National Bank,Home
ICICI Home Loan,9.569947445799054,8,22093.0,151116.0,766.0,884.0,1648945.0,2742030.0,ICICI Bank,Home
Axis Asha Home Loan,10.918265063705714,12,64498.0,121951.0,770.0,872.0,921137.0,2599662.0,HDFC Bank,Home
Baroda Top Up Loan,8.98271391160635,17,60985.0,197599.0,830.0,899.0,1877189.0,2854738.0,Bank of Baroda,Home
PNB Housing Finance Home Loan,10.110433501139367,8,52009.0,198279.0,766.0,875.0,596544.0,3663953.0,Kotak Mahindra Bank,Home
HDFC Reach Home Loans,11.311818543733725,10,37718.0,126521.0,754.0,890.0,1746234.0,2724716.0,ICICI Bank,Home
HDFC Reach Home Loans,11.747603118288211,29,36705.0,154431.0,831.0,887.0,2360400.0,2705107.0,HDFC Bank,Home
Axis Asha Home Loan,7.7353674046451895,9,82598.0,110731.0,730.0,869.0,663249.0,3347727.0,Bank of Baroda,Home
Axis Bank Home Loan,11.632938125807472,16,97878.0,118744.0,765.0,851.0,1210542.0,2632263.0,Axis Bank,Home
HDFC Home Loan,9.460581465397691,8,32239.0,163094.0,800.0,875.0,758155.0,4509174.0,Kotak Mahindra Bank,Home
Kotak Mahindra Home Loan,8.291221941494792,28,66622.0,118423.0,763.0,885.0,1260780.0,3941701.0,Axis Bank,Home
Kotak Mahindra Home Loan,9.295678781191306,13,66665.0,117568.0,730.0,874.0,2061523.0,3743138.0,ICICI Bank,Home
HDFC Home Loan,11.900162876427386,8,52274.0,147411.0,816.0,879.0,1606657.0,2973459.0,ICICI Bank,Home
SBI FlexiPay Home Loan,9.463090469964348,23,31419.0,103934.0,765.0,867.0,2423395.0,4520879.0,Punjab National Bank,Home
HDFC Home Loan,8.64375805143754,28,35003.0,176945.0,746.0,856.0,904322.0,4898849.0,HDFC Bank,Home
SBI FlexiPay Home Loan,10.167004271583629,18,50866.0,196946.0,721.0,876.0,1601330.0,2856449.0,Bank of Baroda,Home
Kotak Delight Home Loans,8.200728093890966,9,41988.0,196344.0,793.0,860.0,1555454.0,3050638.0,HDFC Bank,Home
HDFC Reach Home Loans,7.37931664054332,22,75894.0,108172.0,782.0,886.0,2073656.0,4495072.0,Axis Bank,Home
Axis Bank Home Loan,7.644398609553246,14,25674.0,127358.0,745.0,857.0,1559943.0,2713525.0,Kotak Mahindra Bank,Home
SBI FlexiPay Home Loan,7.640229194788862,29,90538.0,166313.0,788.0,860.0,2111595.0,3966784.0,State Bank of India,Home
Kotak Mahindra Home Loan,7.759513467561471,23,86446.0,119763.0,818.0,873.0,771691.0,2674808.0,Axis Bank,Home
PNB Pride Housing Loan,7.694135863247051,16,49072.0,148673.0,745.0,879.0,2434697.0,2632309.0,Axis Bank,Home
HDFC Home Loan,10.204373724016072,22,53717.0,196706.0,700.0,879.0,2101432.0,3733565.0,Bank of Baroda,Home
SBI Regular Home Loan,7.909400421995724,21,46651.0,185997.0,795.0,864.0,1020480.0,3678833.0,Punjab National Bank,Home
ICICI Insta Home Loan,8.728336416619316,28,64291.0,167975.0,760.0,884.0,825051.0,3640631.0,Axis Bank,Home
ICICI Insta Home Loan,11.483942049530059,15,83350.0,107804.0,804.0,888.0,1074500.0,4689444.0,HDFC Bank,Home
ICICI Home Loan,9.369808201314362,7,24646.0,147594.0,780.0,873.0,2246267.0,2914436.0,State Bank of India,Home
ICICI Insta Home Loan,10.337788692605136,27,59713.0,178748.0,713.0,857.0,2399387.0,2941014.0,HDFC Bank,Home
ICICI Insta Home Loan,7.861599356008149,21,87936.0,187189.0,744.0,892.0,1159498.0,4579849.0,Bank of Baroda,Home
Axis Bank Home Loan,7.961445094043354,5,64331.0,187507.0,776.0,891.0,1402269.0,4232186.0,Axis Bank,Home
ICICI Home Loan,7.204343081332395,19,42185.0,167525.0,765.0,869.0,1726760.0,3759126.0,Bank of Baroda,Home
Axis Bank Home Loan,7.844675315360822,13,72107.0,173404.0,731.0,890.0,704301.0,4023831.0,State Bank of India,Home
ICICI Insta Home Loan,8.392951695159793,19,86554.0,199248.0,795.0,896.0,1691042.0,4782144.0,Kotak Mahindra Bank,Home
SBI FlexiPay Home Loan,7.885052421383734,28,37563.0,124604.0,757.0,875.0,1900132.0,4607599.0,Punjab National Bank,Home
Kotak Delight Home Loans,7.443512668785278,7,90729.0,122135.0,803.0,873.0,1194455.0,4848892.0,Kotak Mahindra Bank,Home
SBI Regular Home Loan,7.603179355503004,26,35701.0,196080.0,755.0,871.0,2469433.0,2516134.0,Punjab National Bank,Home
Axis Asha Home Loan,9.303893840163628,23,89072.0,137918.0,833.0,854.0,1019038.0,4851971.0,Punjab National Bank,Home
ICICI Home Loan,8.031668592028963,17,68217.0,150849.0,766.0,864.0,1987924.0,2606889.0,Axis Bank,Home
Kotak Mahindra Home Loan,8.821349305240377,16,64610.0,130847.0,817.0,885.0,2400072.0,3217112.0,State Bank of India,Home
ICICI Home Loan,9.517086354274284,24,70131.0,143774.0,737.0,886.0,2127985.0,3220669.0,HDFC Bank,Home
Axis Bank Home Loan,10.451974143146828,5,49410.0,160709.0,830.0,878.0,777349.0,3177122.0,ICICI Bank,Home
Baroda Top Up Loan,7.196560699205495,25,78715.0,110680.0,811.0,864.0,2208564.0,3607981.0,ICICI Bank,Home
ICICI Home Loan,10.997051994545213,21,58665.0,195619.0,832.0,876.0,2125464.0,2614764.0,HDFC Bank,Home
HDFC Home Loan,10.139501947454539,17,35957.0,155037.0,753.0,898.0,1906246.0,4928242.0,Bank of Baroda,Home
SBI FlexiPay Home Loan,7.4087951597443595,5,68127.0,199969.0,733.0,857.0,2373103.0,4204344.0,ICICI Bank,Home
Axis Asha Home Loan,11.367893120533886,14,83589.0,158914.0,738.0,878.0,2166023.0,4191644.0,State Bank of India,Home
Baroda Home Loan,11.604362002659066,19,66008.0,126309.0,811.0,868.0,1674166.0,4262023.0,Kotak Mahindra Bank,Home
ICICI Home Loan,7.305389799274319,11,81920.0,110349.0,787.0,880.0,558844.0,4192080.0,Kotak Mahindra Bank,Home
PNB Pride Housing Loan,8.384388240736019,26,52875.0,175079.0,747.0,858.0,1202409.0,4460741.0,Punjab National Bank,Home
Kotak Delight Home Loans,11.031006398965307,22,21626.0,160820.0,748.0,859.0,1045721.0,3930982.0,ICICI Bank,Home
ICICI Home Loan,10.741298451918292,20,83822.0,174996.0,733.0,886.0,745828.0,4733997.0,Kotak Mahindra Bank,Home
PNB Housing Finance Home Loan,7.922605096781886,18,91765.0,134553.0,799.0,859.0,592060.0,3470490.0,HDFC Bank,Home
PNB Housing Finance Home Loan,8.046746616683551,22,92413.0,128525.0,834.0,882.0,1691741.0,4540795.0,Axis Bank,Home
ICICI Home Loan,8.85236051395691,11,53642.0,105948.0,717.0,874.0,1273556.0,3404832.0,HDFC Bank,Home
HDFC Home Loan,9.422614925955106,21,58311.0,114498.0,769.0,853.0,778828.0,3300273.0,Punjab National Bank,Home
PNB Pride Housing Loan,10.09127385765148,22,52356.0,118991.0,813.0,854.0,2318227.0,3901586.0,ICICI Bank,Home
ICICI Home Loan,8.844568197848862,16,23809.0,190510.0,733.0,872.0,1215681.0,3234303.0,Kotak Mahindra Bank,Home
Axis Bank Home Loan,9.31267358066574,12,63371.0,159790.0,750.0,888.0,1670061.0,2954683.0,Kotak Mahindra Bank,Home
PNB Housing Finance Home Loan,10.737354690668782,26,54875.0,107660.0,804.0,854.0,715592.0,3465595.0,HDFC Bank,Home
Kotak Delight Home Loans,7.183416014452989,6,29465.0,126245.0,792.0,857.0,1075593.0,4659007.0,Axis Bank,Home
HDFC Reach Home Loans,8.262184721720104,11,86095.0,100238.0,841.0,866.0,955241.0,3646311.0,Punjab National Bank,Home
Axis Bank Home Loan,10.566747929422762,8,93844.0,119920.0,768.0,850.0,645979.0,2751928.0,Axis Bank,Home
HDFC Home Loan,11.476034188435996,22,85250.0,146659.0,788.0,899.0,1340489.0,3640398.0,State Bank of India,Home
Baroda Top Up Loan,9.558387210578331,10,35250.0,174874.0,802.0,861.0,2479001.0,3175219.0,ICICI Bank,Home
ICICI Home Loan,9.660567426326578,13,66023.0,142517.0,835.0,884.0,585938.0,2942909.0,HDFC Bank,Home
Baroda Home Loan,7.53586005669888,13,66624.0,175885.0,842.0,863.0,2250730.0,3434052.0,ICICI Bank,Home
ICICI Home Loan,9.237061834117274,18,36427.0,146350.0,782.0,897.0,1879338.0,4034159.0,Bank of Baroda,Home
SBI Regular Home Loan,9.663086332275116,12,53276.0,177179.0,710.0,867.0,2145474.0,4194644.0,Punjab National Bank,Home
ICICI Insta Home Loan,8.212352518173649,23,91643.0,128274.0,847.0,859.0,1840050.0,4024696.0,Kotak Mahindra Bank,Home
ICICI Insta Home Loan,8.346216154746905,7,99012.0,145013.0,735.0,864.0,910839.0,4157445.0,Kotak Mahindra Bank,Home
PNB Housing Finance Home Loan,8.886420815523113,22,23439.0,139913.0,781.0,891.0,953493.0,3319817.0,Axis Bank,Home
ICICI Insta Home Loan,7.100355988888632,9,98672.0,145819.0,841.0,882.0,1002080.0,2917860.0,ICICI Bank,Home
Baroda Home Loan,8.610395827915891,18,99703.0,182168.0,737.0,868.0,1942251.0,3554215.0,Bank of Baroda,Home
HDFC Home Loan,8.057240034982723,8,37300.0,192680.0,788.0,883.0,1675484.0,3363584.0,Bank of Baroda,Home
PNB Housing Finance Home Loan,8.637486760889573,11,80289.0,177857.0,700.0,894.0,1409102.0,2782724.0,HDFC Bank,Home
SBI Regular Home Loan,7.598810659096256,24,37182.0,194792.0,803.0,874.0,1089325.0,4433312.0,HDFC Bank,Home
Kotak Mahindra Home Loan,11.452636403699476,29,90507.0,164910.0,764.0,865.0,2452322.0,2789118.0,State Bank of India,Home
SBI FlexiPay Home Loan,9.967962267770243,16,70912.0,123485.0,700.0,857.0,1994707.0,4066726.0,Punjab National Bank,Home
SBI FlexiPay Home Loan,10.395511595722448,6,46909.0,102860.0,824.0,884.0,1473676.0,4972558.0,Bank of Baroda,Home
Kotak Delight Home Loans,10.945856193036692,15,39659.0,149875.0,759.0,870.0,1092625.0,3966553.0,State Bank of India,Home
ICICI Home Loan,9.492210994645287,18,51403.0,114919.0,724.0,868.0,528831.0,2758775.0,Bank of Baroda,Home
Baroda Top Up Loan,7.434601440437119,26,53586.0,198873.0,790.0,895.0,2220783.0,2777114.0,Punjab National Bank,Home
ICICI Insta Home Loan,9.685532709092739,27,30360.0,173947.0,837.0,860.0,2336005.0,3111016.0,ICICI Bank,Home
Axis Bank Home Loan,9.934205590104396,20,41424.0,109586.0,749.0,893.0,1177385.0,4895143.0,Axis Bank,Home
HDFC Reach Home Loans,10.727197370921651,24,68791.0,151986.0,839.0,860.0,1384347.0,2523103.0,Axis Bank,Home
Baroda Home Loan,9.158297731148398,10,23065.0,189848.0,791.0,860.0,1875504.0,2950695.0,Kotak Mahindra Bank,Home
PNB Housing Finance Home Loan,7.637901513977819,27,88795.0,123055.0,731.0,871.0,1948176.0,4455714.0,Bank of Baroda,Home
SBI FlexiPay Home Loan,8.418879528993623,8,32300.0,134890.0,732.0,870.0,2413767.0,4319006.0,State Bank of India,Home
Baroda Top Up Loan,8.815411481993175,19,53370.0,163081.0,725.0,876.0,1334499.0,3774041.0,HDFC Bank,Home
Kotak Delight Home Loans,10.229586206658006,28,89831.0,128807.0,741.0,867.0,1821918.0,4050974.0,State Bank of India,Home
HDFC Home Loan,9.85389152334456,29,47209.0,185920.0,760.0,891.0,2238382.0,3871507.0,HDFC Bank,Home
SBI Regular Home Loan,8.78048362948923,5,40927.0,147177.0,740.0,897.0,2082246.0,4553059.0,Bank of Baroda,Home
PNB Pride Housing Loan,11.932576243964899,11,54579.0,194461.0,829.0,889.0,2096984.0,2648016.0,Bank of Baroda,Home
Kotak Delight Home Loans,10.028874096784435,29,29032.0,168625.0,798.0,887.0,1977257.0,2992709.0,Axis Bank,Home
HDFC Home Loan,8.186133958679973,16,98413.0,114242.0,797.0,879.0,789094.0,2809128.0,Axis Bank,Home
SBI FlexiPay Home Loan,7.508912363102018,14,60731.0,156317.0,730.0,894.0,754816.0,4042464.0,State Bank of India,Home
ICICI Home Loan,7.7642956959216605,9,73767.0,139978.0,814.0,896.0,2460464.0,3443818.0,Axis Bank,Home
Kotak Delight Home Loans,8.229788641922541,16,92302.0,116433.0,846.0,894.0,1381936.0,3815673.0,Kotak Mahindra Bank,Home
Baroda Home Loan,7.803406866297778,22,69954.0,133282.0,747.0,882.0,1879182.0,2838917.0,Bank of Baroda,Home
Axis Asha Home Loan,7.932835120256529,14,45102.0,176519.0,701.0,870.0,777879.0,3782332.0,Kotak Mahindra Bank,Home
Kotak Mahindra Home Loan,8.425475843469236,10,54433.0,143578.0,838.0,851.0,1431727.0,3314880.0,HDFC Bank,Home
Baroda Top Up Loan,7.866867976473774,16,35932.0,170207.0,800.0,862.0,2178710.0,3056059.0,State Bank of India,Home
Kotak Delight Home Loans,11.483827123132127,11,45714.0,124133.0,827.0,851.0,1127021.0,4652530.0,Kotak Mahindra Bank,Home
Axis Bank Home Loan,7.401168728308211,22,77803.0,150317.0,758.0,892.0,1695010.0,3734543.0,ICICI Bank,Home
Axis Asha Home Loan,9.622556947851272,6,59743.0,165950.0,819.0,894.0,2447243.0,2742329.0,State Bank of India,Home
Baroda Top Up Loan,9.051984134948308,14,22552.0,159612.0,737.0,880.0,1326418.0,4786961.0,Punjab National Bank,Home
HDFC Reach Home Loans,11.911893084543031,19,76627.0,164873.0,806.0,859.0,1571985.0,4931188.0,Punjab National Bank,Home
Axis Asha Home Loan,7.560194510840262,16,65987.0,186778.0,720.0,872.0,2009725.0,4311361.0,Bank of Baroda,Home
HDFC Reach Home Loans,8.989277995228708,21,99810.0,162002.0,741.0,871.0,616909.0,4873991.0,Punjab National Bank,Home
SBI Regular Home Loan,11.847352166376844,8,65380.0,152508.0,836.0,896.0,1104275.0,3535418.0,Punjab National Bank,Home
HDFC Reach Home Loans,11.327535629469901,11,49250.0,138379.0,839.0,878.0,1816534.0,3092109.0,ICICI Bank,Home
ICICI Insta Home Loan,11.085360354746399,13,88344.0,115231.0,709.0,882.0,1702536.0,2639934.0,Axis Bank,Home
SBI FlexiPay Home Loan,8.2895141352247,23,84686.0,187385.0,832.0,880.0,966274.0,3746912.0,Kotak Mahindra Bank,Home
HDFC Home Loan,7.854437936950329,27,65028.0,141163.0,732.0,863.0,2095033.0,4237953.0,Axis Bank,Home
Axis Asha Home Loan,10.343216099622154,11,35295.0,131676.0,768.0,859.0,952342.0,4761870.0,Kotak Mahindra Bank,Home
PNB Housing Finance Home Loan,11.646879945637929,27,75248.0,187592.0,779.0,867.0,2324843.0,2592099.0,Bank of Baroda,Home
SBI Regular Home Loan,9.78381446506965,6,30523.0,185483.0,800.0,860.0,848062.0,4491633.0,State Bank of India,Home
PNB Pride Housing Loan,9.8580634473495,10,65530.0,155535.0,728.0,888.0,1010707.0,4777084.0,Bank of Baroda,Home
Baroda Home Loan,8.399895468301422,22,33769.0,191576.0,845.0,896.0,1021296.0,3523510.0,Kotak Mahindra Bank,Home
Axis Bank Home Loan,10.847464665959684,10,83042.0,146110.0,833.0,852.0,2285060.0,3359546.0,ICICI Bank,Home
